t,rpm,dp,db,rhop,thetap,mu,EB_bp,Jb,R
0,1200,18,0.52,2350,80,2.30E-03,0.00E+00,0.9,0
10,1200,18,0.52,2350,80,2.30E-03,0.00E+00,0.9,25.43
15,1200,18,0.52,2350,80,2.30E-03,0.00E+00,0.9,47.73
30,1200,18,0.52,2350,80,2.30E-03,0.00E+00,0.9,70.93
60,1200,18,0.52,2350,80,2.30E-03,0.00E+00,0.9,80.23
0,1500,42,0.55,2350,90,2.30E-03,0.00E+00,1.2,0
10,1500,42,0.55,2350,90,2.30E-03,0.00E+00,1.2,22.36
15,1500,42,0.55,2350,90,2.30E-03,0.00E+00,1.2,43.06
30,1500,42,0.55,2350,90,2.30E-03,0.00E+00,1.2,66.56
60,1500,42,0.55,2350,90,2.30E-03,0.00E+00,1.2,83.76
0,1500,18,0.55,2350,80,2.30E-03,0.00E+00,1.2,0
10,1500,18,0.55,2350,80,2.30E-03,0.00E+00,1.2,33.94
15,1500,18,0.55,2350,80,2.30E-03,0.00E+00,1.2,55.94
30,1500,18,0.55,2350,80,2.30E-03,0.00E+00,1.2,79.74
60,1500,18,0.55,2350,80,2.30E-03,0.00E+00,1.2,87.34
0,1900,42,0.59,2350,90,2.30E-03,0.00E+00,1.6,0
10,1900,42,0.59,2350,90,2.30E-03,0.00E+00,1.6,31.2
15,1900,42,0.59,2350,90,2.30E-03,0.00E+00,1.6,52.4
30,1900,42,0.59,2350,90,2.30E-03,0.00E+00,1.6,70.1
60,1900,42,0.59,2350,90,2.30E-03,0.00E+00,1.6,85.9
0,1900,18,0.59,2350,80,2.30E-03,0.00E+00,1.6,0
10,1900,18,0.59,2350,80,2.30E-03,0.00E+00,1.6,42.91
15,1900,18,0.59,2350,80,2.30E-03,0.00E+00,1.6,66.41
30,1900,18,0.59,2350,80,2.30E-03,0.00E+00,1.6,83.61
60,1900,18,0.59,2350,80,2.30E-03,0.00E+00,1.6,91.11
0,1000,42,0.001,2350,90,2.30E-03,0.00E+00,0.7,0
10,1000,42,0.001,2350,90,2.30E-03,0.00E+00,0.7,35.34
15,1000,42,0.001,2350,90,2.30E-03,0.00E+00,0.7,50.34
30,1000,42,0.001,2350,90,2.30E-03,0.00E+00,0.7,72.44
60,1000,42,0.001,2350,90,2.30E-03,0.00E+00,0.7,84.43
0,1000,18,0.001,2350,90,2.30E-03,0.00E+00,0.7,0
10,1000,18,0.001,2350,90,2.30E-03,0.00E+00,0.7,31.51
15,1000,18,0.001,2350,90,2.30E-03,0.00E+00,0.7,53.81
30,1000,18,0.001,2350,90,2.30E-03,0.00E+00,0.7,77.91
60,1000,18,0.001,2350,90,2.30E-03,0.00E+00,0.7,87.21
0,1200,42,0.0012,2350,90,2.30E-03,0.00E+00,0.9,0
10,1200,42,0.0012,2350,90,2.30E-03,0.00E+00,0.9,32.81
15,1200,42,0.0012,2350,90,2.30E-03,0.00E+00,0.9,52.71
30,1200,42,0.0012,2350,90,2.30E-03,0.00E+00,0.9,71.41
60,1200,42,0.0012,2350,90,2.30E-03,0.00E+00,0.9,88.91
0,1200,18,0.0012,2350,90,2.30E-03,0.00E+00,0.9,0
10,1200,18,0.0012,2350,90,2.30E-03,0.00E+00,0.9,39.51
15,1200,18,0.0012,2350,90,2.30E-03,0.00E+00,0.9,63.61
30,1200,18,0.0012,2350,90,2.30E-03,0.00E+00,0.9,82
60,1200,18,0.0012,2350,90,2.30E-03,0.00E+00,0.9,89.46
0,1500,42,0.0015,2350,90,2.30E-03,0.00E+00,1.2,0
10,1500,42,0.0015,2350,90,2.30E-03,0.00E+00,1.2,39.13
15,1500,42,0.0015,2350,90,2.30E-03,0.00E+00,1.2,53.43
30,1500,42,0.0015,2350,90,2.30E-03,0.00E+00,1.2,76.53
60,1500,42,0.0015,2350,90,2.30E-03,0.00E+00,1.2,92.53
0,1500,18,0.0015,2350,90,2.30E-03,0.00E+00,1.2,0
10,1500,18,0.0015,2350,90,2.30E-03,0.00E+00,1.2,43.93
15,1500,18,0.0015,2350,90,2.30E-03,0.00E+00,1.2,69.13
30,1500,18,0.0015,2350,90,2.30E-03,0.00E+00,1.2,89.03
60,1500,18,0.0015,2350,90,2.30E-03,0.00E+00,1.2,95.23
0,1900,42,0.0019,2350,90,2.30E-03,0.00E+00,1.5,0
10,1900,42,0.0019,2350,90,2.30E-03,0.00E+00,1.5,38.9
15,1900,42,0.0019,2350,90,2.30E-03,0.00E+00,1.5,61.3
30,1900,42,0.0019,2350,90,2.30E-03,0.00E+00,1.5,81.8
60,1900,42,0.0019,2350,90,2.30E-03,0.00E+00,1.5,95.7
0,1900,18,0.0019,2350,90,2.30E-03,0.00E+00,1.5,0
10,1900,18,0.0019,2350,90,2.30E-03,0.00E+00,1.5,51.85
15,1900,18,0.0019,2350,90,2.30E-03,0.00E+00,1.5,76.55
30,1900,18,0.0019,2350,90,2.30E-03,0.00E+00,1.5,93.55
60,1900,18,0.0019,2350,90,2.30E-03,0.00E+00,1.5,98.45
0,900,6,0.7,4790,10,3.00E-03,1.00E-17,1,0
30,900,6,0.7,4790,10,3.00E-03,1.00E-17,1,4
60,900,6,0.7,4790,10,3.00E-03,1.00E-17,1,10
120,900,6,0.7,4790,10,3.00E-03,1.00E-17,1,14
240,900,6,0.7,4790,10,3.00E-03,1.00E-17,1,16
360,900,6,0.7,4790,10,3.00E-03,1.00E-17,1,17.5
0,900,7.5,0.7,4640,10,3.00E-03,1.00E-17,1,0
30,900,7.5,0.7,4640,10,3.00E-03,1.00E-17,1,3.5
60,900,7.5,0.7,4640,10,3.00E-03,1.00E-17,1,9.5
120,900,7.5,0.7,4640,10,3.00E-03,1.00E-17,1,11
240,900,7.5,0.7,4640,10,3.00E-03,1.00E-17,1,12
360,900,7.5,0.7,4640,10,3.00E-03,1.00E-17,1,17.5
0,900,12,0.7,4450,10,3.00E-03,1.00E-17,1,0
30,900,12,0.7,4450,10,3.00E-03,1.00E-17,1,2
60,900,12,0.7,4450,10,3.00E-03,1.00E-17,1,7.5
120,900,12,0.7,4450,10,3.00E-03,1.00E-17,1,8
240,900,12,0.7,4450,10,3.00E-03,1.00E-17,1,9.5
360,900,12,0.7,4450,10,3.00E-03,1.00E-17,1,9.5
0,900,15,0.7,2350,60,3.00E-03,1.00E-19,1,0
30,900,15,0.7,2350,60,3.00E-03,1.00E-19,1,17.5
60,900,15,0.7,2350,60,3.00E-03,1.00E-19,1,48
120,900,15,0.7,2350,60,3.00E-03,1.00E-19,1,75
240,900,15,0.7,2350,60,3.00E-03,1.00E-19,1,90
360,900,15,0.7,2350,60,3.00E-03,1.00E-19,1,94
0,1800,23.43,0.5,2350,80,2.30E-03,0.00E+00,1.4,0
300,1800,23.43,0.5,2350,80,2.30E-03,0.00E+00,1.4,98.72
0,1800,14.2,0.5,4790,10,2.30E-03,1.00E-17,1.4,0
300,1800,14.2,0.5,4790,10,2.30E-03,1.00E-17,1.4,4.69
0,1800,20,0.5,2350,60,2.30E-03,1.00E-19,1.4,0
300,1800,20,0.5,2350,60,2.30E-03,1.00E-19,1.4,90.495
0,1800,10,0.5,4790,20,2.30E-03,1.00E-18,1.4,0
300,1800,10,0.5,4790,20,2.30E-03,1.00E-18,1.4,11.75
