rpm,dp,db,rhop,thetap,mu,EB_bp,Jb,U1,U2,ep1,ep2,Sb,t,Rp,Rfe,kp,Pk
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,0.50 ,0.046827 ,0.000000 ,0.0144 ,1.24E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,0.60 ,0.055671 ,0.000000 ,0.0168 ,1.44E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,0.70 ,0.064352 ,0.000000 ,0.0190 ,1.64E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,0.80 ,0.072875 ,0.000000 ,0.0211 ,1.82E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,0.90 ,0.081245 ,0.000000 ,0.0231 ,1.99E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,1.00 ,0.089464 ,0.000000 ,0.0249 ,2.15E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,1.50 ,0.128450 ,0.000000 ,0.0325 ,2.80E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,2.00 ,0.164230 ,0.000000 ,0.0377 ,3.25E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,2.50 ,0.197200 ,0.000000 ,0.0419 ,3.61E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,3.00 ,0.227660 ,0.000000 ,0.0449 ,3.87E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,3.50 ,0.255890 ,0.000000 ,0.0475 ,4.10E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,4.00 ,0.282130 ,0.000000 ,0.0497 ,4.28E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,4.50 ,0.306590 ,0.000000 ,0.0517 ,4.45E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,5.00 ,0.329430 ,0.000000 ,0.0535 ,4.61E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,5.50 ,0.350820 ,0.000000 ,0.0553 ,4.76E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,6.00 ,0.370880 ,0.000000 ,0.0570 ,4.91E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,6.50 ,0.389740 ,0.000000 ,0.0587 ,5.06E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,7.00 ,0.407500 ,0.000000 ,0.0604 ,5.21E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,7.50 ,0.424260 ,0.000000 ,0.0622 ,5.36E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,8.00 ,0.440100 ,0.000000 ,0.0639 ,5.51E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,8.50 ,0.455090 ,0.000000 ,0.0656 ,5.66E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,9.00 ,0.469290 ,0.000000 ,0.0674 ,5.81E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,9.50 ,0.482780 ,0.000000 ,0.0691 ,5.96E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,10.00 ,0.495600 ,0.000000 ,0.0708 ,6.10E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,10.50 ,0.507790 ,0.000000 ,0.0726 ,6.26E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,11.00 ,0.519410 ,0.000000 ,0.0744 ,6.41E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,11.50 ,0.530500 ,0.000000 ,0.0761 ,6.56E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,12.00 ,0.541080 ,0.000000 ,0.0779 ,6.71E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,12.50 ,0.551200 ,0.000000 ,0.0797 ,6.87E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,13.00 ,0.560880 ,0.000000 ,0.0815 ,7.02E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,13.50 ,0.570160 ,0.000000 ,0.0832 ,7.17E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,14.00 ,0.579040 ,0.000000 ,0.0850 ,7.32E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,14.50 ,0.587570 ,0.000000 ,0.0868 ,7.48E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,15.00 ,0.595760 ,0.000000 ,0.0885 ,7.63E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,15.50 ,0.603640 ,0.000000 ,0.0902 ,7.78E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,16.00 ,0.611210 ,0.000000 ,0.0919 ,7.92E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,16.50 ,0.618490 ,0.000000 ,0.0936 ,8.06E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,17.00 ,0.625510 ,0.000000 ,0.0952 ,8.20E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,17.50 ,0.632280 ,0.000000 ,0.0968 ,8.34E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,18.00 ,0.638800 ,0.000000 ,0.0983 ,8.47E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,18.50 ,0.645100 ,0.000000 ,0.0983 ,8.47E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,19.00 ,0.651180 ,0.000000 ,0.0983 ,8.47E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,19.50 ,0.657060 ,0.000000 ,0.0983 ,8.47E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,20.00 ,0.662740 ,0.000000 ,0.0983 ,8.47E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,25.00 ,0.710680 ,0.000000 ,0.0983 ,8.47E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,30.00 ,0.746680 ,0.000000 ,0.0983 ,8.47E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,35.00 ,0.774720 ,0.000000 ,0.0983 ,8.47E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,40.00 ,0.797160 ,0.000000 ,0.0983 ,8.47E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,45.00 ,0.815540 ,0.000000 ,0.0983 ,8.47E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,50.00 ,0.830870 ,0.000000 ,0.0983 ,8.47E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,60.00 ,0.854970 ,0.000000 ,0.0983 ,8.47E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,70.00 ,0.873060 ,0.000000 ,0.0983 ,8.47E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,80.00 ,0.887130 ,0.000000 ,0.0983 ,8.47E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,90.00 ,0.898400 ,0.000000 ,0.0983 ,8.47E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,100.00 ,0.907620 ,0.000000 ,0.0983 ,8.47E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,110.00 ,0.915310 ,0.000000 ,0.0983 ,8.47E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,120.00 ,0.921810 ,0.000000 ,0.0983 ,8.47E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,130.00 ,0.927390 ,0.000000 ,0.0983 ,8.47E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,140.00 ,0.932220 ,0.000000 ,0.0983 ,8.47E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,150.00 ,0.936450 ,0.000000 ,0.0983 ,8.47E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,160.00 ,0.940190 ,0.000000 ,0.0983 ,8.47E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,170.00 ,0.943510 ,0.000000 ,0.0983 ,8.47E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,180.00 ,0.946480 ,0.000000 ,0.0983 ,8.47E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,190.00 ,0.949150 ,0.000000 ,0.0983 ,8.47E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,200.00 ,0.951570 ,0.000000 ,0.0983 ,8.47E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,210.00 ,0.953770 ,0.000000 ,0.0983 ,8.47E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,220.00 ,0.955780 ,0.000000 ,0.0983 ,8.47E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,230.00 ,0.957620 ,0.000000 ,0.0983 ,8.47E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,240.00 ,0.959310 ,0.000000 ,0.0983 ,8.47E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,250.00 ,0.960880 ,0.000000 ,0.0983 ,8.47E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,260.00 ,0.962320 ,0.000000 ,0.0983 ,8.47E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,270.00 ,0.963670 ,0.000000 ,0.0983 ,8.47E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,280.00 ,0.964920 ,0.000000 ,0.0983 ,8.47E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,290.00 ,0.966090 ,0.000000 ,0.0983 ,8.47E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,300.00 ,0.967180 ,0.000000 ,0.0983 ,8.47E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,310.00 ,0.968210 ,0.000000 ,0.0983 ,8.47E-04
1200 ,16.3 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9671 ,1.9406 ,0.2229 ,6.4803 ,0.3121 ,116.05 ,320.00 ,0.969170 ,0.000000 ,0.0983 ,8.47E-04
1200 ,157.5 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9653 ,1.9395 ,0.2227 ,6.4722 ,0.3107 ,115.84 ,0.00 ,0.000000 ,0.000000 ,0.0000 ,0.00E+00
1200 ,157.5 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9653 ,1.9395 ,0.2227 ,6.4722 ,0.3107 ,115.84 ,0.01 ,0.004543 ,0.000000 ,0.0162 ,1.40E-04
1200 ,157.5 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9653 ,1.9395 ,0.2227 ,6.4722 ,0.3107 ,115.84 ,0.02 ,0.009045 ,0.000000 ,0.0324 ,2.80E-04
1200 ,157.5 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9653 ,1.9395 ,0.2227 ,6.4722 ,0.3107 ,115.84 ,0.03 ,0.013507 ,0.000000 ,0.0486 ,4.19E-04
1200 ,157.5 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9653 ,1.9395 ,0.2227 ,6.4722 ,0.3107 ,115.84 ,0.04 ,0.017928 ,0.000000 ,0.0647 ,5.58E-04
1200 ,157.5 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9653 ,1.9395 ,0.2227 ,6.4722 ,0.3107 ,115.84 ,0.05 ,0.022310 ,0.000000 ,0.0808 ,6.97E-04
1200 ,157.5 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9653 ,1.9395 ,0.2227 ,6.4722 ,0.3107 ,115.84 ,0.06 ,0.026653 ,0.000000 ,0.0969 ,8.36E-04
1200 ,157.5 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9653 ,1.9395 ,0.2227 ,6.4722 ,0.3107 ,115.84 ,0.07 ,0.030958 ,0.000000 ,0.1129 ,9.75E-04
1200 ,157.5 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9653 ,1.9395 ,0.2227 ,6.4722 ,0.3107 ,115.84 ,0.08 ,0.035225 ,0.000000 ,0.1289 ,1.11E-03
1200 ,157.5 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9653 ,1.9395 ,0.2227 ,6.4722 ,0.3107 ,115.84 ,0.09 ,0.039454 ,0.000000 ,0.1397 ,1.21E-03
1200 ,157.5 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9653 ,1.9395 ,0.2227 ,6.4722 ,0.3107 ,115.84 ,0.10 ,0.043647 ,0.000000 ,0.1504 ,1.30E-03
1200 ,157.5 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9653 ,1.9395 ,0.2227 ,6.4722 ,0.3107 ,115.84 ,0.20 ,0.083643 ,0.000000 ,0.2388 ,2.06E-03
1200 ,157.5 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9653 ,1.9395 ,0.2227 ,6.4722 ,0.3107 ,115.84 ,0.30 ,0.120430 ,0.000000 ,0.2956 ,2.55E-03
1200 ,157.5 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9653 ,1.9395 ,0.2227 ,6.4722 ,0.3107 ,115.84 ,0.40 ,0.154370 ,0.000000 ,0.3383 ,2.92E-03
1200 ,157.5 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9653 ,1.9395 ,0.2227 ,6.4722 ,0.3107 ,115.84 ,0.50 ,0.185800 ,0.000000 ,0.3701 ,3.19E-03
1200 ,157.5 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9653 ,1.9395 ,0.2227 ,6.4722 ,0.3107 ,115.84 ,0.60 ,0.214970 ,0.000000 ,0.3955 ,3.41E-03
1200 ,157.5 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9653 ,1.9395 ,0.2227 ,6.4722 ,0.3107 ,115.84 ,0.70 ,0.242120 ,0.000000 ,0.4159 ,3.59E-03
1200 ,157.5 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9653 ,1.9395 ,0.2227 ,6.4722 ,0.3107 ,115.84 ,0.80 ,0.267460 ,0.000000 ,0.4326 ,3.73E-03
1200 ,157.5 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9653 ,1.9395 ,0.2227 ,6.4722 ,0.3107 ,115.84 ,0.90 ,0.291160 ,0.000000 ,0.4460 ,3.85E-03
1200 ,157.5 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9653 ,1.9395 ,0.2227 ,6.4722 ,0.3107 ,115.84 ,1.00 ,0.313370 ,0.000000 ,0.4564 ,3.94E-03
1200 ,157.5 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9653 ,1.9395 ,0.2227 ,6.4722 ,0.3107 ,115.84 ,1.50 ,0.406380 ,0.000000 ,0.4564 ,3.94E-03
1200 ,157.5 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9653 ,1.9395 ,0.2227 ,6.4722 ,0.3107 ,115.84 ,2.00 ,0.477200 ,0.000000 ,0.4564 ,3.94E-03
1200 ,157.5 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9653 ,1.9395 ,0.2227 ,6.4722 ,0.3107 ,115.84 ,2.50 ,0.532920 ,0.000000 ,0.4564 ,3.94E-03
1200 ,157.5 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9653 ,1.9395 ,0.2227 ,6.4722 ,0.3107 ,115.84 ,3.00 ,0.577910 ,0.000000 ,0.4564 ,3.94E-03
1200 ,157.5 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9653 ,1.9395 ,0.2227 ,6.4722 ,0.3107 ,115.84 ,3.50 ,0.614990 ,0.000000 ,0.4564 ,3.94E-03
1200 ,157.5 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9653 ,1.9395 ,0.2227 ,6.4722 ,0.3107 ,115.84 ,4.00 ,0.646080 ,0.000000 ,0.4564 ,3.94E-03
1200 ,157.5 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9653 ,1.9395 ,0.2227 ,6.4722 ,0.3107 ,115.84 ,4.50 ,0.672530 ,0.000000 ,0.4564 ,3.94E-03
1200 ,157.5 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9653 ,1.9395 ,0.2227 ,6.4722 ,0.3107 ,115.84 ,5.00 ,0.695300 ,0.000000 ,0.4564 ,3.94E-03
1200 ,157.5 ,0.50 ,4200 ,90 ,2.30E-03,0.00E+00,0.9653 ,1.9395 ,0.2227 ,6.4722 ,0.3107 ,115.84 ,5.50 ,0.715110 ,0.000000 ,0.4564 ,3.94E-03
