t,rpm,dp,db,rhop,thetap,mu,EB_bp,Jb,R,paper
0,1500,18,0.0015,2350,90,2.30E-03,0.00E+00,1.2,0,3
10,1500,18,0.0015,2350,90,2.30E-03,0.00E+00,1.2,43.93,3
15,1500,18,0.0015,2350,90,2.30E-03,0.00E+00,1.2,69.13,3
30,1500,18,0.0015,2350,90,2.30E-03,0.00E+00,1.2,89.03,3
60,1500,18,0.0015,2350,90,2.30E-03,0.00E+00,1.2,95.23,3
0,1900,42,0.0019,2350,90,2.30E-03,0.00E+00,1.5,0,3
10,1900,42,0.0019,2350,90,2.30E-03,0.00E+00,1.5,38.9,3
15,1900,42,0.0019,2350,90,2.30E-03,0.00E+00,1.5,61.3,3
30,1900,42,0.0019,2350,90,2.30E-03,0.00E+00,1.5,81.8,3
60,1900,42,0.0019,2350,90,2.30E-03,0.00E+00,1.5,95.7,3
0,1900,18,0.0019,2350,90,2.30E-03,0.00E+00,1.5,0,3
10,1900,18,0.0019,2350,90,2.30E-03,0.00E+00,1.5,51.85,3
15,1900,18,0.0019,2350,90,2.30E-03,0.00E+00,1.5,76.55,3
30,1900,18,0.0019,2350,90,2.30E-03,0.00E+00,1.5,93.55,3
60,1900,18,0.0019,2350,90,2.30E-03,0.00E+00,1.5,98.45,3
0,900,6,0.7,4790,10,3.00E-03,1.00E-17,1,0,4
30,900,6,0.7,4790,10,3.00E-03,1.00E-17,1,4,4
60,900,6,0.7,4790,10,3.00E-03,1.00E-17,1,10,4
120,900,6,0.7,4790,10,3.00E-03,1.00E-17,1,14,4
240,900,6,0.7,4790,10,3.00E-03,1.00E-17,1,16,4
360,900,6,0.7,4790,10,3.00E-03,1.00E-17,1,17.5,4
0,900,7.5,0.7,4640,10,3.00E-03,1.00E-17,1,0,4
30,900,7.5,0.7,4640,10,3.00E-03,1.00E-17,1,3.5,4
60,900,7.5,0.7,4640,10,3.00E-03,1.00E-17,1,9.5,4
120,900,7.5,0.7,4640,10,3.00E-03,1.00E-17,1,11,4
240,900,7.5,0.7,4640,10,3.00E-03,1.00E-17,1,12,4
360,900,7.5,0.7,4640,10,3.00E-03,1.00E-17,1,17.5,4
0,900,12,0.7,4450,10,3.00E-03,1.00E-17,1,0,4
30,900,12,0.7,4450,10,3.00E-03,1.00E-17,1,2,4
60,900,12,0.7,4450,10,3.00E-03,1.00E-17,1,7.5,4
120,900,12,0.7,4450,10,3.00E-03,1.00E-17,1,8,4
240,900,12,0.7,4450,10,3.00E-03,1.00E-17,1,9.5,4
360,900,12,0.7,4450,10,3.00E-03,1.00E-17,1,9.5,4
0,900,15,0.7,2350,60,3.00E-03,1.00E-19,1,0,4
30,900,15,0.7,2350,60,3.00E-03,1.00E-19,1,17.5,4
60,900,15,0.7,2350,60,3.00E-03,1.00E-19,1,48,4
120,900,15,0.7,2350,60,3.00E-03,1.00E-19,1,75,4
240,900,15,0.7,2350,60,3.00E-03,1.00E-19,1,90,4
360,900,15,0.7,2350,60,3.00E-03,1.00E-19,1,94,4
